ItemStemID,ItemStemLanguage,Respondent,ItemStemContentID,ItemStemFullText,ItemStemSource
85,1,2,38,My child worries about what is going to happen,
86,1,2,43,My child worries that something bad will happen to him/her,
87,1,2,40,My child worries when in bed at night,
88,1,2,41,My child worries about looking foolish,
89,1,2,42,My child worries that something awful will happen to someone in the family,
90,1,2,43,My child worries that something bad will happen to him/her,
91,1,2,44,My child worries what other people think of him/her,
92,1,2,45,My child worries when he/she thinks he/she has done poorly at something,
93,1,2,46,My child worries about doing badly at school work,
94,1,2,47,My child worries that he/she will suddenly get a scared feeling when there is nothing to be afraid of,
95,9,1,37,Ich mache mir Sorgen.,
96,9,1,12,Ich fühle mich traurig oder leer.,
97,9,1,35,"Wenn ich ein Problem habe, bekomme ich ein komisches Gefühl im Bauch.",
98,9,1,45,"Ich mache mir Sorgen, wenn ich denke, dass ich etwas schlecht gemacht habe.",
99,9,1,7,"Ich hätte Angst, allein zu Hause zu sein.",
100,9,1,10,Nichts macht mir mehr so richtig Freude.,
101,9,1,26,"Ich habe Angst, wenn ich eine Arbeit schreiben muss.",
102,9,1,14,"Ich bin besorgt, wenn ich denke, dass jemand böse auf mich ist.",
103,9,1,8,"Ich mache mir Sorgen, wenn ich nicht bei meinen Eltern bin.",
104,9,1,4,Mich stören schlimme oder dumme Gedanken oder Bilder in meinem Kopf.,
105,9,1,21,Ich kann nicht gut schlafen.,
106,9,1,46,"Ich mache mir Sorgen, schlecht in der Schule zu sein.",
107,9,1,42,"Ich mache mir Sorgen, dass jemandem aus meiner Familie etwas Schlimmes passiert.",
108,9,1,29,"Ich habe plötzlich das Gefühl, dass ich keine Luft bekomme, ohne dass es einen Grund dafür gibt.",
109,9,1,17,Ich habe kaum Appetit.,
110,9,1,23,"Ich muss immer wieder kontrollieren, ob ich alles richtig erledigt habe (wie das Licht auszuschalten oder die Tür abzuschließen).",
111,9,1,24,"Ich habe Angst, wenn ich alleine schlafen muss.",
112,9,1,32,"Morgens fällt es mir schwer zur Schule zu gehen, weil ich nervös oder ängstlich bin.",
113,9,1,16,"Ich habe keine Energie, irgendetwas zu tun.",
114,9,1,41,"Ich mache mir Sorgen, dass ich mich blamieren könnte.",
115,9,1,13,Ich bin sehr müde.,
116,9,1,39,"Ich mache mir Sorgen, dass mir schlimme Dinge zustoßen.",
117,9,1,6,Ich bekomme schlimme oder dumme Gedanken nicht aus meinem Kopf.,
118,9,1,34,"Wenn ich ein Problem habe, schlägt mein Herz ganz schnell.",
119,9,1,5,Ich kann nicht klar denken.,
120,9,1,30,"Ich fange plötzlich an zu zittern, ohne dass es einen Grund dafür gibt.",
121,9,1,43,"Ich mache mir Sorgen, dass mir etwas Schlimmes passiert.",
122,9,1,33,"Wenn ich ein Problem habe, fühle ich mich ganz wackelig auf den Beinen.",
123,9,1,15,Ich fühle mich wertlos.,
124,9,1,36,"Ich mache mir Sorgen, Fehler zu machen.",
125,9,1,20,"Ich muss bestimmte Sachen denken (wie Zahlen oder Worte), um zu verhindern, dass etwas Schlimmes passiert.",
126,9,1,44,"Ich mache mir Sorgen, was andere über mich denken.",
127,9,1,1,"Ich habe Angst, an Orten mit vielen Menschen zu sein (wie in Einkaufszentren, Kinos, Bussen oder auf vollen Spielplätzen).",
128,9,1,28,Plötzlich bekomme ich ohne Grund ganz große Angst.,
129,9,1,38,"Ich mache mir Sorgen, was geschehen wird.",
130,9,1,27,"Plötzlich wird mir schwindelig oder schummerig, ohne dass es einen Grund dafür gibt.",
131,9,1,31,Ich denke über den Tod nach.,
132,9,1,3,"Ich habe Angst, wenn ich vor meiner Klasse etwas sagen muss.",
133,9,1,22,Plötzlich schlägt mein Herz ohne Grund ganz schnell.,
134,9,1,9,"Es fällt mir schwer, mich aufzuraffen.",
135,9,1,47,"Ich mache mir Sorgen, dass ich plötzlich einfach so Angst bekomme.",
136,9,1,19,"Manche Dinge muss ich immer und immer wieder tun (wie meine Hände zu waschen, sauber zu machen oder bestimmte Sachen zu ordnen).",
137,9,1,2,"Ich habe Angst, mich vor anderen zu blamieren.",
138,9,1,18,"Manche Sachen muss ich auf eine bestimmte Art und Weise machen, um zu verhindern, dass etwas Schlimmes passiert.",
139,9,1,40,"Ich mache mir Sorgen, wenn ich abends ins Bett gehe.",
140,9,1,25,"Ich hätte Angst, woanders zu übernachten.",
141,9,1,11,Ich bin unruhig.,
142,9,2,37,Mein Kind macht sich Sorgen.,
143,9,2,12,Mein Kind fühlt sich traurig oder leer.,
144,9,2,35,"Wenn mein Kind ein Problem hat, bekommt es ein komisches Gefühl im Bauch.",
145,9,2,45,"Mein Kind macht sich Sorgen, wenn es denkt, dass es etwas schlecht gemacht hat.",
146,9,2,7,"Mein Kind hätte Angst, alleine zu Hause zu sein.",
147,9,2,10,Nichts macht meinem Kind mehr so richtig Freude.,
148,9,2,26,"Mein Kind hat Angst, wenn es eine Arbeit schreiben muss.",
149,9,2,14,"Mein Kind ist besorgt, wenn es denkt, dass jemand böse auf es ist.",
150,9,2,8,"Mein Kind macht sich Sorgen, wenn es nicht bei seinen Eltern ist.",
151,9,2,4,Mein Kind stören schlimme oder dummen Gedanken oder Bildern in seinem Kopf.,
152,9,2,21,Mein Kind kann nicht gut schlafen.,
153,9,2,46,"Mein Kind macht sich Sorgen, schlecht in der Schule zu sein.",
154,9,2,42,"Mein Kind macht sich Sorgen, dass jemandem aus seiner Familie etwas Schlimmes passiert.",
155,9,2,29,"Mein Kind hat plötzlich das Gefühl, dass es keine Luft bekommt, ohne dass es einen Grund dafür gibt.",
156,9,2,17,Mein Kind hat kaum Appetit.,
157,9,2,23,"Mein Kind muss immer wieder kontrollieren, ob es Dinge richtig erledigt hat (wie das Licht auszuschalten oder die Tür abzuschließen).",
158,9,2,24,"Mein Kind hat Angst, wenn es alleine schlafen muss.",
159,9,2,32,"Meinem Kind fällt es schwer morgens zur Schule zur gehen, weil es nervös oder ängstlich ist.",
160,9,2,16,"Mein Kind hat keine Energie, irgendetwas zu tun.",
161,9,2,41,"Mein Kind macht sich Sorgen, dass es sich blamieren könnte.",
162,9,2,13,Mein Kind ist oft müde.,
163,9,2,39,"Mein Kind macht sich Sorgen, dass ihm schlimme Dinge zustoßen.",
164,9,2,6,Mein Kind bekommt schlimme oder dumme Gedanken nicht aus seinem Kopf.,
165,9,2,34,"Wenn mein Kind ein Problem hat, schlägt sein Herz ganz schnell.",
166,9,2,5,Mein Kind kann nicht klar denken.,
167,9,2,30,"Mein Kind fängt plötzlich an zu zittern, ohne dass es einen Grund dafür gibt.",
168,9,2,43,"Mein Kind macht sich Sorgen, dass ihm etwas Schlimmes passiert.",
169,9,2,33,"Wenn mein Kind ein Problem hat, fühlt es sich ganz wackelig auf den Beinen.",
170,9,2,15,Mein Kind fühlt sich wertlos.,
171,9,2,36,"Mein Kind macht sich Sorgen, Fehler zu machen.",
172,9,2,20,"Mein Kind muss bestimmte Sachen denken (wie Zahlen oder Worte), um zu verhindern, dass etwas Schlimmes passiert.",
173,9,2,44,"Mein Kind macht sich Sorgen, was andere über es denken.",
174,9,2,1,"Mein Kind hat Angst, an Orten mit vielen Menschen zu sein (wie in Einkaufszentren, Kinos, Bussen oder auf vollen Spielplätzen).",
175,9,2,28,Mein Kind bekommt plötzlich ohne Grund ganz große Angst.,
176,9,2,38,"Mein Kind macht sich Sorgen, was geschehen wird.",
177,9,2,27,"Meinem Kind wird plötzlich schwindelig oder schummrig, ohne dass es einen Grund dafür gibt.",
178,9,2,31,Mein Kind denkt über den Tod nach.,
179,9,2,3,"Mein Kind hat Angst, wenn es vor seiner Klasse etwas sagen muss.",
180,9,2,22,Das Herz meines Kindes schlägt plötzlich ohne Grund ganz schnell.,
181,9,2,9,"Meinem Kind fällt es schwer, sich aufzuraffen.",
182,9,2,47,"Mein Kind macht sich Sorgen, dass es plötzlich einfach so Angst bekommt.",
183,9,2,19,"Mein Kind muss manche Dinge immer und immer wieder tun (wie seine Hände waschen, sauber zu machen oder bestimmte Sachen zu ordnen).",
184,9,2,2,"Mein Kind hat Angst, sich vor anderen zu blamieren.",
185,9,2,18,"Mein Kind muss manche Sachen auf eine bestimmte Art und Weise machen, um zu verhindern, dass etwas Schlimmes passiert.",
186,9,2,40,"Mein Kind macht sich Sorgen, wenn es abends ins Bett geht.",
187,9,2,25,"Mein Kind hätte Angst, woanders zu übernachten.",
188,9,2,11,Mein Kind ist unruhig.,
189,3,2,37,我孩子焦虑不安,
190,3,2,12,我孩子感觉空虚或悲伤,
191,3,2,35,我孩子遇到问题时会觉得肚子不舒服,
192,3,2,45,当我孩子认为自己有什么事情做的不好时，就会忧虑,
193,3,2,7,我孩子害怕自己一个人在家,
194,3,2,10,什么东西对我孩子来说都不怎么好玩了,
195,3,2,26,考试的时候，我孩子会提心吊胆的,
196,3,2,14,当我孩子认为有人跟他/她生气时，就会忧虑,
197,3,2,8,我孩子害怕和我分开,
198,3,2,4,我孩子会被自己头脑里一些不好或愚蠢的想法或者画面困扰,
199,3,2,21,我孩子睡眠不好,
200,3,2,46,我孩子担心做不好学校功课,
201,3,2,42,我孩子担心有什么可怕的事情会发生在家人身上,
202,3,2,29,无缘无故的，我孩子会突然感觉好像不能呼吸,
203,3,2,17,我孩子的胃口不好,
204,3,2,23,我孩子必须常常反复检查某个事情是否做好了（比如开关有没有关，或者门有没有锁好）,
205,3,2,24,我孩子害怕自己一个人睡觉,
206,3,2,32,我孩子早上会因为感觉紧张或害怕而不想去学校,
207,3,2,16,我孩子做事情提不起劲,
208,3,2,41,我孩子担心自己看上去傻里傻气,
209,3,2,13,我孩子常常觉得很累,
210,3,2,39,我孩子担心坏事会发生在他/她自己身上,
211,3,2,6,我孩子好像没办法摆脱自己的坏念头或蠢念头,
212,3,2,34,当我孩子遇到麻烦时，他/她的心就跳得很快,
213,3,2,5,我孩子没办法清楚地思考,
214,3,2,30,无缘无故的，我孩子会突然开始发抖,
215,3,2,43,我孩子担心不好的事情会发生在他/她自己身上,
216,3,2,33,我孩子遇到麻烦时会觉得颤抖不稳,
217,3,2,15,我孩子感觉他/她自己没有用,
218,3,2,36,我孩子担心会犯错误,
219,3,2,20,我孩子必须通过脑袋里默想特殊的东西（比如数字、词语）来阻止不好的事情发生,
220,3,2,44,我孩子担心别人怎么看他/她,
221,3,2,1,我孩子害怕呆在拥挤的地方（比如商场、电影院、公共汽车、人多的操场）,
222,3,2,28,无缘无故的，我孩子会突然觉得很害怕,
223,3,2,38,我孩子担心将要发生的事情,
224,3,2,27,无缘无故的，我孩子会突然觉得晕,
225,3,2,31,我孩子会想关于死亡的事情,
226,3,2,3,我孩子害怕在课堂上发言,
227,3,2,22,我孩子会无缘无故地突然心跳地非常快,
228,3,2,9,我孩子感觉不想动,
229,3,2,47,我孩子担心他/她自己会突然无缘无故地感觉恐慌,
230,3,2,19,我孩子必须一再重复地做某些动作（比如洗手、打扫卫生、把东西放整齐）,
231,3,2,2,我孩子担心他/她会在别人面前出丑,
232,3,2,18,我孩子必须用特定的方法做一些事情，来阻止不好的事情发生,
233,3,2,40,我孩子晚上睡觉时会焦虑,
234,3,2,25,我孩子会害怕在外面过夜,
235,3,2,11,我孩子感觉坐立不安,
236,4,2,37,Mit barn bekymrer sig om ting,
237,4,2,12,Mit barn føler sig trist eller tom,
238,4,2,35,"Når mit barn har et problem, får han/hun en sjov følelse i maven",
239,4,2,45,"Mit barn bekymrer sig, når han/hun synes, han/hun har præsteret dårligt",
240,4,2,7,Mit barn føler sig bange for at være alene hjemme,
241,4,2,10,Mit barn synes ikke noget er særlig sjovt længere,
242,4,2,26,"Mit barn føler sig bange, når han/hun skal tage en test",
243,4,2,14,"Mit barn bekymrer sig, når han/hun tror, at nogen er vred på ham/hende",
244,4,2,8,Mit barn bekymrer sig om at være væk fra mig,
245,4,2,4,Mit barn bliver generet af dårlige eller fjollede tanker eller billeder i sit hoved,
246,4,2,21,Mit barn har svært ved at sove,
247,4,2,46,"Mit barn bekymrer sig om, at han/hun vil klare sig dårligt i skolearbejdet",
248,4,2,42,"Mit barn bekymrer sig om, at der vil ske noget forfærdeligt med nogen i familien",
249,4,2,29,"Mit barn føler pludselig uden grund, at det er som om han/hun ikke kan trække vejret",
250,4,2,17,Mit barn har problemer med sin appetit,
251,4,2,23,"Mit barn skal blive ved med at tjekke, at han/hun har gjort tingene rigtigt (som at kontakten er slukket, eller døren er låst)",
252,4,2,24,"Mit barn føler sig bange, hvis han/hun skal sove alene",
253,4,2,32,"Mit barn har problemer med at komme i skole om morgenen, fordi han/hun føler sig nervøs eller bange",
254,4,2,16,Mit barn har ingen energi til ting,
255,4,2,41,"Mit barn bekymrer sig om, at han/hun ser tåbelig ud",
256,4,2,13,Mit barn er ofte træt,
257,4,2,39,"Mit barn er bekymret for, at der vil ske ham/hende noget dårligt",
258,4,2,6,Mit barn kan ikke få dårlige eller dumme tanker ud af sit hoved,
259,4,2,34,Mit barn kan ikke få dårlige eller dumme tanker ud af sit hoved,
260,4,2,5,Mit barn kan ikke tænke klart,
261,4,2,30,"Mit barn begynder pludselig at ryste, eller ryster uden grund",
262,4,2,43,"Mit barn bekymrer sig om, at der vil ske ham/hende noget slemt",
263,4,2,33,"Når mit barn har et problem, føler han/hun at hans/hendes krop ryster",
264,4,2,15,Mit barn føler sig værdiløs,
265,4,2,36,Mit barn bekymrer sig om at lave fejl,
266,4,2,20,Mit barn skal tænke på bestemte tanker (som på tal eller ord) for at forhindre dårlige ting i at ske,
267,4,2,44,"Mit barn bekymrer sig om, hvad andre mennesker synes om ham/hende",
268,4,2,1,"Mit barn er bange for at være på overfyldte steder (såsom shoppingcentre, biografer, busser, travle legepladser)",
269,4,2,28,Lige pludselig føler mit barn sig virkelig bange uden nogen som helst grund,
270,4,2,38,"Mit barn bekymrer sig om, hvad der skal ske",
271,4,2,27,"Mit barn bliver pludselig svimmel eller besvimer, uden nogen grund",
272,4,2,31,Mit barn tænker på døden,
273,4,2,3,"Mit barn føler sig bange, hvis han/hun skal tale foran sin klasse",
274,4,2,22,Mit barns hjerte begynder pludselig at banke for hurtigt uden nogen grund,
275,4,2,9,"Mit barn føler, at han/hun ikke vil bevæge sig",
276,4,2,47,"Mit barn bekymrer sig om, at han/hun pludselig får en bange følelse når der er ikke noget at være bange for",
277,4,2,19,"Mit barn bliver nødt til at gøre nogle ting igen og igen (som at vaske hænder, gøre rent eller sætte ting i en bestemt rækkefølge)",
278,4,2,2,"Mit barn er bange for, at han/hun vil gøre sig selv til grin foran andre",
279,4,2,18,"For at forhindre at dårlige ting sker, er mit barn nødt til at gøre nogle bestemte ting på den helt rigtige måde",
280,4,2,40,"Mit barn bekymrer sig, når i seng om aftenen",
281,4,2,25,"Mit barn ville føle sig bange, hvis han/hun skulle være væk hjemmefra om natten",
282,4,2,11,Mit barn føler sig rastløs,
283,5,2,37,Mijn kind maakt zich zorgen over dingen,
284,5,2,12,Mijn kind voelt zich verdrietig of leeg van bi,
285,5,2,35,"Als mijn kind een probleem heeft, krijg hij/zij een gek
gevoel in de buik",
286,5,2,45,"Mijn kind piekert als hij/zij denkt dat hij/zij iets niet
goed heeft gedaan",
287,5,2,7,Mijn kind zou het eng vinden om alleen thuis te zijn,
288,5,2,10,Mijn kind vindt niets meer echt leuk,
289,5,2,26,"Mijn kind voelt zich zenuwachtig als hij/zij een
proefwerk of een toets moet maken",
290,5,2,14,"Mijn kind maakt zich zorgen als het denkt dat iemand
boos op hem/haar is",
291,5,2,8,"Mijn kind maakt zich zorgen over niet in de buurt van
ons/mij zijn",
292,5,2,4,"Mijn kind heeft last van slechte of rare gedachten of
beelden in zijn/haar hoofd",
293,5,2,21,Mijn kind heeft problemen met slapen,
294,5,2,46,"Mijn kind maakt zich zorgen dat hij/zij het werk op
school slecht zal doen",
295,5,2,42,"Mijn kind maakt zich zorgen dat er iets ergs gaat
gebeuren met iemand uit ons gezin",
296,5,2,29,"Mijn kind heeft plotseling het gevoel geen adem te
kunnen krijgen, terwijl daar geen reden voor is",
297,5,2,17,Mijn kind heeft geen zin in eten,
298,5,2,23,"Mijn kind moet steeds controleren of hij/zij dingen goed
heeft gedaan (bijvoorbeeld of het licht uit is, of de deur
op slot is)",
299,5,2,24,Mijn kind is bang als hij/zij alleen moet slapen,
300,5,2,32,"Mijn kind vindt het moeilijk om ’s ochtends naar school
te gaan omdat hij/zij zich zenuwachtig of bang voelt…",
301,5,2,16,Mijn kind heeft geen energie om dingen te doen,
302,5,2,41,"Mijn kind maakt zich zorgen dat hij/zij misschien stom
lijkt",
303,5,2,13,Mijn kind is erg moe,
304,5,2,39,"Mijn kind maakt zich zorgen dat er erge dingen met
hem/haar gaan gebeuren",
305,5,2,6,"Mijn kind kan slechte of rare gedachten moeilijk uit
zijn/haar hoofd krijgen",
306,5,2,34,"Als mijn kind een probleem heeft, slaat zijn/haar hart
heel snel",
307,5,2,5,Mijn kind kan niet helder nadenken,
308,5,2,30,"Mijn kind begint plotseling te trillen of te beven, terwijl
er geen reden voor is",
309,5,2,43,"Mijn kind maakt zich zorgen dat er iets ergs met
hem/haar gaat gebeuren",
310,5,2,33,"Als mijn kind een probleem heeft, voelt hij/zij zich
trillerig",
311,5,2,15,Mijn kind heeft het gevoel dat hij/zij niets waard is,
312,5,2,36,Mijn kind maakt zich zorgen dat hij/zij fouten maakt,
313,5,2,20,"Mijn kind moet bepaalde gedachten denken (zoals
getallen of woorden) om te zorgen dat er geen nare
dingen gebeuren",
314,5,2,44,"Mijn kind piekert over wat andere mensen van
hem/haar denken",
315,5,2,1,"Mijn kind is bang om op plaatsen te zijn waar veel
mensen zijn, zoals een winkelcentrum, de bioscoop,
bussen of drukke speeltuinen",
316,5,2,28,"Plotseling voelt mijn kind zich heel bang, terwijl er geen
reden voor is",
317,5,2,38,"Mijn kind maakt zich zorgen over wat er zal gaan
gebeuren",
318,5,2,27,"Mijn kind klaagt dat hij/zij plotseling duizelig of slap
wordt, terwijl er geen reden voor is",
319,5,2,31,Mijn kind denkt aan de dood,
320,5,2,3,"Mijn kind is bang als hij/zij voor de klas iets moet
zeggen",
321,5,2,22,"Het hart van mijn kind begint plotseling te snel te
kloppen terwijl daar geen reden voor is",
322,5,2,9,Mijn kind heeft een gevoel alsof hij/zij niet wil bewege,
323,5,2,47,"Mijn kind piekert dat hij/zij plotseling bang zal worden
terwijl er niets is om bang voor te zijn",
324,5,2,19,"Mijn kind moet sommige dingen steeds opnieuw doen
(zoals handen wassen, dingen schoonmaken of op een
bepaalde manier neerleggen)",
325,5,2,2,"Mijn kind is bang dat hij/zij zichzelf voor gek zal zetten
tegenover andere mensen",
326,5,2,18,"Mijn kind moet sommige dingen precies op de goede
manier doen om ervoor te zorgen dat er geen nare
dingen gebeuren",
327,5,2,40,Mijn kind piekert ’s avonds in bed,
328,5,2,25,"Mijn kind zou bang zijn als hij/zij een nacht van huis
moest zijn",
329,5,2,11,Mijn kind voelt zich onrustig,
330,6,2,37,Mu laps muretseb asjade pärast,
331,6,2,12,Mu laps tunneb end kurva või tühjana,
332,6,2,35,"Kui mu lapsel on probleem, siis ta tunneb kõhus imelikku tunnet",
333,6,2,45,"Mu laps muretseb, kui mõtleb, et on midagi kehvasti teinud",
334,6,2,7,"Mu laps tunneks hirmu, kui peab üksi kodus  olema",
335,6,2,10,Mu lapse jaoks pole miski enam eriti lõbus,
336,6,2,26,"Mu laps tunneb hirmu, kui peab tegema kontrolltööd",
337,6,2,14,"Mu laps muretseb, kui talle tundub, et keegi on tema peale vihane",
338,6,2,8,Mu laps muretseb minust eemal oleku pärast,
339,6,2,4,Mu last häirivad halvad või rumalad mõtted või kujutluspildid,
340,6,2,21,Mu lapsel on probleeme unega,
341,6,2,46,"Mu laps muretseb, et tal võib koolitööga halvasti minna",
342,6,2,42,"Mu laps muretseb, et kellegagi tema perest võib midagi kohutavat juhtuda",
343,6,2,29,"Mu laps tunneb äkki, et ei saa hingata, ehkki selleks pole mingit põhjust",
344,6,2,17,Mu lapsel on probleeme söögiisuga,
345,6,2,23,"Mu laps peab pidevalt kontrollima, kas ta tegi asju õigesti (nt tule kustutamine või ukse lukustamine)",
346,6,2,24,"Mu laps tunneb hirmu, kui peab üksi magama",
347,6,2,32,"Mu lapsel on raske hommikuti kooli minna, sest ta on närvis või kardab",
348,6,2,16,Mu lapsel ei jätku energiat asjade tegemiseks,
349,6,2,41,"Mu laps muretseb, et võib teistele rumal paista",
350,6,2,13,Mu laps on kogu aeg väsinud,
351,6,2,39,"Mu laps muretseb, et temaga juhtuvad halvad asjad",
352,6,2,6,Mu laps ei saa kuidagi halbu ja rumalaid mõtteid peast välja,
353,6,2,34,"Kui mu lapsel on probleem, lööb ta süda väga kiiresti",
354,6,2,5,Mu laps ei suuda selgelt mõelda,
355,6,2,30,"Mu laps hakkab ootamatult värisema või vappuma, kuigi selleks pole mingit põhjust",
356,6,2,43,"Mu laps muretseb, et temaga võib juhtuda midagi halba",
357,6,2,33,"Kui mu lapsel on probleem, siis ta tunneb, nagu väriseks",
358,6,2,15,Mu laps tunneb end väärtusetuna,
359,6,2,36,Mu laps muretseb vigade tegemise pärast,
360,6,2,20,"Mu laps peab mõtlema kindlaid mõtteid (näiteks numbreid või sõnu), et ei juhtuks halbu asju",
361,6,2,44,"Mu laps muretseb selle pärast, mida teised inimesed temast mõtlevad",
362,6,2,1,"Mu laps kardab olla rahvarohketes kohtades (näiteks kaubanduskeskustes, kinos, bussides, mänguväljakutel)",
363,6,2,28,Mu laps tunneb ootamatult hirmu ilma mingi põhjuseta,
364,6,2,38,"Mu laps muretseb selle pärast, mis võib juhtuda",
365,6,2,27,"Mu lapsel hakkab pea ootamatult ringi käima või ta tunneb nõrkust, ehkki selleks pole põhjust",
366,6,2,31,Mu laps mõtleb surmast,
367,6,2,3,"Mu laps tunneb hirmu, kui peab kogu klassi ees rääkima",
368,6,2,22,"Mu lapse süda hakkab ootamatult, ilma põhjuseta, liiga kiiresti lööm",
369,6,2,9,"Mu laps tunneb, et ta ei taha end liigutada",
370,6,2,47,"Mu laps muretseb, et ta võib ootamatult tunda hirmu, kuigi tegelikult pole vaja midagi karta ",
371,6,2,19,"Mu laps tunneb, et peab mingeid asju tegema ikka ja jälle uuesti (näiteks käsi pesema, koristama või asju teatud järjekorda sättima)",
372,6,2,2,"Mu laps kardab, et teeb end teiste ees lolliks",
373,6,2,18,"Mu laps tunneb, et peab mingeid asju tegema täpselt õigel viisil, et halba ära hoida",
374,6,2,40,"Mu laps muretseb, kui läheb õhtul voodisse",
375,6,2,25,"Mu laps kardaks, kui peaks öösel kodust eemal olema",
376,6,2,11,Mu laps tunneb end rahutuna,
377,7,2,37,Lapseni on huolissaan asioista,
378,7,2,12,Lapsellani on surullinen tai tyhjä olo,
379,7,2,35,"Kun lapsellani on jokin ongelma, hänen vatsassaan tuntuu kummalliselta",
380,7,2,45,"Lastani huolestuttaa, kun hän ajattelee, että hän on suoriutunut jossain asiassa huonosti",
381,7,2,7,Lastani pelottaa olla yksin kotona,
382,7,2,10,Mikään ei ole lapsestani enää kovin hauskaa,
383,7,2,26,Lastani pelottaa koetilanteissa,
384,7,2,14,"Lastani huolestuttaa, kun hän ajattelee, että joku on hänelle vihainen",
385,7,2,8,Lastani huolestuttaa olla poissa luotani,
